,location,bhk,total_sqft,bath,price,price_per_sqft
51,Bhoganhalli,3,1670.0,3.0,99.0,5928.143712574851
52,Whitefield,3,2010.0,3.0,91.0,4527.363184079602
53,Lakshminarayana Pura,2,1185.0,2.0,75.0,6329.113924050633
54,Yelahanka,3,1600.0,2.0,75.0,4687.5
55,Begur Road,2,1200.0,2.0,44.0,3666.6666666666665
57,other,2,1500.0,2.0,185.0,12333.333333333334
59,other,2,840.0,2.0,45.0,5357.142857142857
60,other,3,4395.0,3.0,240.0,5460.750853242321
61,Ganga Nagar,2,845.0,2.0,55.0,6508.87573964497
62,Whitefield,4,5700.0,5.0,650.0,11403.508771929824
63,Varthur,2,1160.0,2.0,44.0,3793.103448275862
64,Bommanahalli,8,3000.0,8.0,140.0,4666.666666666667
65,Doddathoguru,2,1100.0,2.0,62.0,5636.363636363636
66,Gunjur,2,1140.0,2.0,43.0,3771.9298245614036
67,Marathahalli,2,1220.0,2.0,57.0,4672.131147540984
69,Kanakpura Road,2,1005.0,2.0,36.68,3649.7512437810947
71,Begur Road,2,1358.0,2.0,80.58,5933.726067746687
72,Hegde Nagar,3,1569.0,3.0,101.0,6437.221159974506
73,Haralur Road,2,1240.0,2.0,70.0,5645.1612903225805
74,Hennur Road,3,2089.0,3.0,140.0,6701.771182383915
75,Kothannur,2,1206.0,2.0,48.23,3999.1708126036483
76,Kalena Agrahara,2,1150.0,2.0,40.0,3478.2608695652175
77,other,3,2511.0,3.0,205.0,8164.078056551175
79,ISRO Layout,6,4400.0,6.0,250.0,5681.818181818182
80,other,3,1660.0,2.0,105.0,6325.301204819277
82,Yelahanka,2,1326.0,2.0,78.0,5882.35294117647
83,Garudachar Palya,3,1325.0,2.0,60.8,4588.679245283019
84,EPIP Zone,3,1499.0,5.0,102.0,6804.536357571715
85,Hegde Nagar,6,3000.0,7.0,210.0,7000.0
86,Kanakpura Road,3,1665.0,3.0,88.0,5285.285285285286
87,Dasanapura,2,708.0,2.0,37.0,5225.988700564972
88,Kasavanhalli,2,1060.0,2.0,58.06,5477.358490566037
90,Sanjay nagar,2,1000.0,2.0,70.0,7000.0
91,Electronic City,2,1000.0,2.0,28.88,2888.0
92,other,3,1450.0,2.0,70.0,4827.586206896552
93,ISRO Layout,4,1200.0,4.0,155.0,12916.666666666666
94,Thanisandra,2,1296.0,2.0,80.0,6172.83950617284
95,Domlur,3,1540.0,3.0,90.0,5844.1558441558445
96,Kengeri,4,2894.0,4.0,245.0,8465.791292328957
97,Sarjapura - Attibele Road,3,1330.0,2.0,48.0,3609.0225563909776
98,other,2,1200.0,2.0,65.0,5416.666666666667
99,other,3,1200.0,3.0,90.0,7500.0
100,Yeshwanthpur,3,2502.0,3.0,138.0,5515.587529976019
101,Chandapura,2,650.0,1.0,17.0,2615.3846153846152
102,Kothanur,3,2400.0,2.0,150.0,6250.0
103,other,2,1007.0,2.0,43.0,4270.109235352532
104,other,2,1200.0,2.0,50.0,4166.666666666667
105,other,2,966.0,2.0,49.9,5165.631469979296
106,Nagarbhavi,3,1630.0,2.0,98.0,6012.269938650306
107,Rajaji Nagar,3,1640.0,3.0,229.0,13963.414634146342
108,other,2,782.0,2.0,55.68,7120.204603580562
109,Devanahalli,2,1260.0,2.0,66.78,5300.0
110,other,3,1800.0,3.0,120.0,6666.666666666667
111,other,3,1413.0,2.0,75.0,5307.855626326964
112,Whitefield,2,1116.0,2.0,51.91,4651.433691756272
113,Electronic City,3,1530.0,2.0,45.9,3000.0
114,Ramamurthy Nagar,4,3700.0,4.0,225.0,6081.081081081081
115,Sarjapur  Road,3,2497.0,3.0,140.0,5606.728073688426
116,Kengeri,3,1540.0,2.0,64.0,4155.8441558441555
117,Thanisandra,3,1436.0,3.0,74.75,5205.431754874652
118,Malleshwaram,2,1100.0,2.0,75.0,6818.181818181818
120,Thanisandra,3,1427.0,3.0,120.0,8409.250175192712
121,Akshaya Nagar,3,2061.0,3.0,200.0,9704.02717127608
122,Hebbal,4,5611.5,4.0,477.0,8500.400962309543
123,Shampura,4,2650.0,4.0,150.0,5660.377358490566
124,Devanahalli,3,1282.0,2.0,68.52,5344.773790951638
125,Kadugodi,2,1050.0,2.0,34.0,3238.095238095238
126,LB Shastri Nagar,3,1600.0,3.0,65.0,4062.5
127,other,2,945.0,2.0,54.0,5714.285714285715
128,Hormavu,2,1500.0,2.0,78.0,5200.0
130,other,3,1870.0,3.0,110.0,5882.35294117647
131,Sarjapur,3,1600.0,3.0,75.0,4687.5
132,Electronic City,2,880.0,1.0,16.5,1875.0
133,other,4,1200.0,4.0,210.0,17500.0
134,Kudlu Gate,3,1535.0,3.0,83.0,5407.166123778502
135,Kanakpura Road,2,950.0,2.0,57.0,6000.0
136,Devanahalli,2,1360.0,2.0,65.0,4779.411764705882
137,8th Phase JP Nagar,2,1073.5,2.0,54.005,5030.740568234746
138,Bommasandra Industrial Area,3,1280.0,3.0,50.4,3937.5
139,other,3,1260.0,2.0,85.05,6750.0
140,Hennur Road,8,5000.0,8.0,250.0,5000.0
141,Yelahanka,5,3050.0,5.0,213.0,6983.606557377049
142,Kasavanhalli,3,1563.05,3.0,105.0,6717.635392341896
143,ISRO Layout,2,1000.0,2.0,60.0,6000.0
144,Anandapura,2,1167.0,2.0,43.76,3749.7857754927163
145,Vishveshwarya Layout,7,4000.0,7.0,225.0,5625.0
146,Kothanur,3,1828.0,3.0,110.0,6017.505470459519
147,Kengeri Satellite Town,2,890.0,2.0,35.0,3932.5842696629215
148,other,3,1612.0,3.0,46.74,2899.5037220843674
150,Mysore Road,3,1710.0,4.0,91.31,5339.766081871345
151,Kannamangala,2,957.0,2.0,58.0,6060.606060606061
152, Devarachikkanahalli,3,1250.0,2.0,44.0,3520.0
153,other,3,2795.0,4.0,235.0,8407.871198568873
154,Hulimavu,2,1125.0,2.0,50.0,4444.444444444444
155,Electronic City Phase II,2,1020.0,2.0,30.6,3000.0
156,Kalena Agrahara,2,1200.0,2.0,50.0,4166.666666666667
157,Thanisandra,3,1735.0,3.0,135.0,7780.979827089337
158,Thanisandra,3,2050.0,3.0,145.0,7073.170731707317
159,Mahalakshmi Layout,4,3750.0,4.0,760.0,20266.666666666668
160,other,3,1350.0,2.0,48.0,3555.5555555555557
161,Hosa Road,2,1063.0,2.0,32.0,3010.348071495767
162,other,3,1904.0,3.0,150.0,7878.151260504202
163,Whitefield,4,4200.0,4.0,420.0,10000.0
164,other,3,2000.0,3.0,175.0,8750.0
165,Sarjapur,2,1242.5,2.0,43.49,3500.201207243461
166,other,3,1425.0,2.0,75.0,5263.1578947368425
167,Electronic City,3,1500.0,2.0,64.5,4300.0
168,Electronic City,2,1060.0,2.0,60.0,5660.377358490566
169,other,3,1470.0,2.0,70.0,4761.9047619047615
171,Attibele,1,450.0,1.0,11.0,2444.4444444444443
172,Electronic City,2,1152.0,2.0,64.5,5598.958333333333
173,Electronic City,3,1350.0,2.0,56.0,4148.148148148148
174,CV Raman Nagar,3,1550.0,3.0,65.0,4193.548387096775
175,other,3,1500.0,3.0,100.0,6666.666666666667
177,Nagavara,1,400.0,1.0,14.0,3500.0
178,Malleshwaram,1,705.0,1.0,67.0,9503.54609929078
179,Electronic City,2,770.0,1.0,36.0,4675.324675324675
180,Hulimavu,2,1242.0,2.0,51.0,4106.280193236715
181,Hebbal Kempapura,3,1700.0,3.0,155.0,9117.64705882353
182,Thanisandra,3,2144.0,3.0,145.0,6763.059701492537
183,Vijayanagar,3,1704.0,3.0,110.0,6455.399061032864
184,Electronic City,2,1070.0,2.0,52.0,4859.813084112149
185,other,3,1846.0,3.0,300.0,16251.354279523293
186,other,2,1340.0,2.0,55.7,4156.7164179104475
187,Electronic City,2,1025.0,2.0,46.0,4487.804878048781
188,KR Puram,2,1277.5,2.0,56.8,4446.183953033268
189,Marathahalli,2,1200.0,2.0,52.0,4333.333333333333
190,Kanakpura Road,4,2250.0,4.0,110.0,4888.888888888889
191,Pattandur Agrahara,3,1550.0,2.0,80.0,5161.290322580645
192,Bellandur,4,1200.0,5.0,325.0,27083.333333333332
194,Marathahalli,2,1200.0,2.0,60.0,5000.0
195,Yelahanka,2,1327.0,2.0,98.0,7385.079125847777
196,Kothanur,2,1186.0,2.0,58.0,4890.387858347386
197,other,3,1783.0,3.0,115.0,6449.8037016264725
198,HSR Layout,3,1400.0,3.0,56.0,4000.0
199,Nagasandra,2,980.0,2.0,48.0,4897.959183673469
200,EPIP Zone,2,1285.0,2.0,82.0,6381.322957198444
201,other,3,912.0,2.0,70.0,7675.438596491228
202,Whitefield,2,1225.0,2.0,47.6,3885.714285714286
203,Whitefield,2,1075.0,2.0,53.0,4930.232558139535
204,Kadugodi,3,1260.0,2.0,54.0,4285.714285714285
205,Yelahanka,3,1282.0,2.0,48.7,3798.751950078003
206,Kogilu,3,1909.0,3.0,88.0,4609.743321110529
207,Panathur,2,1359.0,2.0,87.0,6401.766004415011
208,other,2,1207.0,2.0,43.5,3603.976801988401
209,Padmanabhanagar,4,1736.0,6.0,190.0,10944.700460829494
210,1st Block Jayanagar,4,2850.0,4.0,428.0,15017.543859649122
211,Kammasandra,3,1595.0,3.0,65.0,4075.2351097178685
212,other,3,1798.0,3.0,89.0,4949.944382647386
213,Electronics City Phase 1,3,1475.0,3.0,78.29,5307.796610169492
214,other,3,1580.0,3.0,100.0,6329.113924050633
215,Dasarahalli,2,1295.0,2.0,65.0,5019.305019305019
216,Magadi Road,6,3600.0,6.0,141.0,3916.6666666666665
217,Electronic City,1,589.0,1.0,27.0,4584.040747028863
218,other,3,1415.0,3.0,78.0,5512.367491166077
219,Sarjapur  Road,3,1787.0,3.0,98.29,5500.279798545048
220,Sarjapur  Road,3,1787.0,3.0,125.0,6994.963626189144
221,Koramangala,3,1475.0,2.0,90.0,6101.6949152542375
222,other,4,2000.0,4.0,75.5,3775.0
223,Sarjapur  Road,2,984.0,2.0,44.28,4500.0
225,other,3,2405.0,4.0,260.0,10810.81081081081
226,7th Phase JP Nagar,2,1080.0,2.0,72.0,6666.666666666667
227,other,2,1500.0,2.0,115.0,7666.666666666667
228,Hebbal,3,1900.0,3.0,119.0,6263.1578947368425
229,Dommasandra,2,805.0,2.0,22.14,2750.3105590062114
230,Budigere,2,1153.0,2.0,56.4,4891.587163920208
231,other,2,1148.0,2.0,60.0,5226.480836236934
232,other,2,1110.0,2.0,55.0,4954.954954954955
233,Electronic City,2,1100.0,2.0,42.0,3818.181818181818
234,Kalyan nagar,2,1290.0,2.0,110.0,8527.131782945737
235,other,3,1500.0,2.0,65.0,4333.333333333333
236,other,2,1080.0,2.0,39.0,3611.1111111111113
237,Vijayanagar,3,1933.0,3.0,129.0,6673.564407656492
238,Ramamurthy Nagar,5,3500.0,5.0,150.0,4285.714285714285
239,other,2,1060.0,2.0,60.0,5660.377358490566
240,Chandapura,1,645.0,1.0,16.45,2550.3875968992247
241,other,8,2600.0,8.0,180.0,6923.076923076923
242,Chandapura,1,645.0,1.0,16.45,2550.3875968992247
243,other,3,1644.0,3.0,84.0,5109.489051094891
244,other,2,1285.0,2.0,72.5,5642.023346303502
245,Electronic City,3,1200.0,3.0,90.0,7500.0
246,Electronic City,2,910.0,2.0,40.0,4395.604395604396
247,Kothanur,3,1577.0,3.0,70.0,4438.807863031072
248,other,3,4050.0,3.0,280.0,6913.580246913581
249,OMBR Layout,3,2420.0,3.0,185.0,7644.628099173554
250,Chandapura,2,800.0,1.0,20.0,2500.0
251,other,2,1060.0,2.0,55.0,5188.679245283019
252,7th Phase JP Nagar,2,1270.0,2.0,93.0,7322.834645669292
253,other,2,900.0,2.0,22.5,2500.0
254,other,2,1280.0,2.0,69.0,5390.625
255,Horamavu Agara,4,1200.0,2.0,95.0,7916.666666666667
256,Sarjapur  Road,2,1025.0,2.0,36.0,3512.1951219512193
257,Electronic City,2,1108.0,2.0,63.0,5685.9205776173285
259,other,3,3045.0,3.0,170.0,5582.922824302134
260,Ambedkar Nagar,4,2900.0,3.0,300.0,10344.827586206897
261,Vijayanagar,3,1500.0,3.0,75.5,5033.333333333333
262,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,3389.96138996139
263,Budigere,2,1162.0,2.0,59.9,5154.9053356282275
264,Sarjapur  Road,2,1035.0,2.0,49.2,4753.623188405797
265,Attibele,4,1600.0,4.0,52.8,3300.0
266,other,3,1464.0,3.0,46.0,3142.0765027322404
267,Hennur Road,3,1866.0,2.0,61.58,3300.10718113612
268,other,2,700.0,1.0,26.0,3714.285714285714
269,Kalena Agrahara,3,1804.0,3.0,120.0,6651.884700665189
270,Sarjapur,2,913.0,2.0,32.0,3504.9288061336256
271,Talaghattapura,3,1868.0,3.0,131.0,7012.847965738758
272,Kengeri Satellite Town,2,883.0,2.0,45.0,5096.262740656852
273,other,2,900.0,2.0,110.0,12222.222222222223
274,Kogilu,3,1664.0,2.0,73.95,4444.110576923077
275,Hegde Nagar,3,2026.0,3.0,132.0,6515.301085883514
276,Balagere,2,1210.0,2.0,80.9,6685.950413223141
277,other,4,4111.0,4.0,250.0,6081.24543906592
278,Kadugodi,3,1762.0,3.0,91.45,5190.124858115778
279,Jigani,3,1252.0,3.0,55.0,4392.97124600639
280,Gollarapalya Hosahalli,2,861.0,2.0,34.5,4006.968641114983
281,7th Phase JP Nagar,3,1420.0,2.0,100.0,7042.2535211267605
283,Electronics City Phase 1,3,1490.0,3.0,78.8,5288.5906040268455
284,Bisuvanahalli,3,1075.0,2.0,46.0,4279.069767441861
285,Old Madras Road,3,1425.0,2.0,94.0,6596.491228070176
286,Kalena Agrahara,2,1200.0,2.0,40.0,3333.3333333333335
287,Kaggadasapura,3,1280.0,2.0,56.0,4375.0
288,other,2,1084.0,2.0,50.0,4612.546125461255
289,Chandapura,2,1015.0,2.0,25.88,2549.753694581281
290,Kanakpura Road,2,1017.0,2.0,51.25,5039.331366764995
291,Haralur Road,2,1027.0,2.0,44.0,4284.323271665044
292,Electronic City Phase II,2,1069.0,2.0,45.0,4209.541627689429
293,Hebbal,2,1349.0,2.0,98.2,7279.466271312083
294,9th Phase JP Nagar,2,1005.0,2.0,50.0,4975.124378109453
295,Jakkur,2,1417.0,2.0,75.0,5292.87226534933
296,TC Palaya,3,1475.0,3.0,98.0,6644.067796610169
297,other,2,950.0,2.0,47.0,4947.368421052632
298,other,4,2000.0,4.0,120.0,6000.0
300,Sarjapur  Road,4,1863.0,3.0,104.0,5582.393988191089
301,Singasandra,2,1010.0,2.0,29.5,2920.792079207921
302,Kalena Agrahara,3,1425.0,2.0,70.0,4912.2807017543855
303,Vijayanagar,3,1450.0,3.0,100.0,6896.551724137931
304,Kothanur,3,1847.0,3.0,105.0,5684.89442338928
305,AECS Layout,2,1100.0,2.0,45.0,4090.909090909091
306,Kanakpura Road,1,525.0,1.0,26.0,4952.380952380952
307,Mallasandra,3,1665.0,3.0,95.0,5705.705705705705
308,Begur,4,1664.0,4.0,65.0,3906.25
309,JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
310,Panathur,2,1438.0,2.0,100.0,6954.102920723227
311,other,3,1560.0,3.0,115.0,7371.794871794872
312,Yelahanka,2,1350.0,2.0,55.55,4114.814814814815
313,Kanakpura Road,3,1550.0,3.0,67.0,4322.580645161291
314,Malleshpalya,2,1140.0,2.0,46.5,4078.9473684210525
316,other,2,850.0,2.0,27.0,3176.470588235294
317,Whitefield,2,1280.0,2.0,75.0,5859.375
318,Munnekollal,2,1170.0,2.0,52.0,4444.444444444444
319,other,2,1113.0,2.0,51.0,4582.210242587601
320,Hennur Road,2,1385.0,2.0,83.09,5999.27797833935
321,Electronic City,2,1128.0,2.0,65.0,5762.41134751773
322,Marathahalli,2,1200.0,2.0,128.0,10666.666666666666
323,other,4,1200.0,4.0,165.0,13750.0
324,Rajaji Nagar,3,2390.0,3.0,415.0,17364.016736401674
325,Giri Nagar,4,2400.0,4.0,400.0,16666.666666666668
326,Haralur Road,3,1464.0,3.0,56.0,3825.136612021858
327,other,2,1200.0,2.0,55.0,4583.333333333333
328,Kaval Byrasandra,2,1200.0,2.0,52.0,4333.333333333333
329,Kaggalipura,3,1150.0,2.0,55.0,4782.608695652174
330,other,3,1645.0,3.0,95.0,5775.075987841945
331,Sarjapur  Road,2,1000.0,2.0,67.0,6700.0
332,Haralur Road,4,2650.0,4.0,198.0,7471.698113207547
333,6th Phase JP Nagar,2,1192.0,2.0,74.0,6208.053691275168
334,Ulsoor,3,2135.0,3.0,215.0,10070.257611241217
335,Whitefield,2,1173.0,2.0,58.0,4944.58653026428
336,Uttarahalli,2,1020.0,2.0,45.0,4411.764705882353
337,Thigalarapalya,4,3122.0,6.0,230.0,7367.072389493914
338,Somasundara Palya,3,1600.0,3.0,64.0,4000.0
339,other,2,1200.0,2.0,79.0,6583.333333333333
340,other,2,1230.0,2.0,48.0,3902.439024390244
341, Devarachikkanahalli,2,1250.0,2.0,40.0,3200.0
342,Kalena Agrahara,2,1325.0,2.0,76.0,5735.8490566037735
343,7th Phase JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
345,Basaveshwara Nagar,2,1200.0,2.0,65.0,5416.666666666667
346,other,3,1350.0,2.0,140.0,10370.37037037037
347,Bommasandra,3,1260.0,3.0,49.36,3917.4603174603176
348,other,3,1800.0,3.0,150.0,8333.333333333334
350,Ardendale,2,1100.0,2.0,43.25,3931.818181818182
351,Harlur,2,1508.0,2.0,77.0,5106.100795755968
352,other,3,1592.0,3.0,75.0,4711.05527638191
353,Akshaya Nagar,2,1388.0,2.0,57.0,4106.628242074928
354,Electronic City Phase II,1,630.0,1.0,28.35,4500.0
355,other,3,2000.0,3.0,365.0,18250.0
356,other,3,1762.0,3.0,125.0,7094.211123723042
357,other,2,950.0,2.0,50.0,5263.1578947368425
358,Kodihalli,4,3252.0,5.0,335.0,10301.353013530135
359,Magadi Road,2,1116.0,2.0,50.0,4480.286738351255
360,Narayanapura,2,1308.0,2.0,89.04,6807.339449541284
361,other,3,1200.0,3.0,90.0,7500.0
362,other,4,1500.0,4.0,230.0,15333.333333333334
363,Bannerghatta Road,1,500.0,1.0,18.5,3700.0
364,Hennur,2,1075.0,2.0,52.0,4837.209302325581
365,Chandapura,1,530.0,1.0,11.66,2200.0
366,Bellandur,2,1205.0,2.0,66.0,5477.178423236514
367,5th Phase JP Nagar,2,1075.0,2.0,60.0,5581.395348837209
368,KR Puram,2,930.0,2.0,39.0,4193.548387096775
369,Balagere,2,1380.0,2.0,60.0,4347.826086956522
370,Hebbal,4,2483.0,5.0,212.0,8538.058799838904
371,Kodigehaali,2,1166.0,2.0,55.0,4716.981132075472
372,Bannerghatta Road,2,1050.0,2.0,65.0,6190.476190476191
373,other,3,2023.71,3.0,275.0,13588.903548433324
374,Begur Road,2,1200.0,2.0,46.8,3900.0
375,Lakshminarayana Pura,3,1600.0,2.0,108.0,6750.0
376,Billekahalli,3,1935.0,3.0,110.0,5684.754521963824
377,8th Phase JP Nagar,1,451.0,1.0,29.9,6629.711751662971
378,Electronic City,3,1800.0,3.0,95.0,5277.777777777777
379,Jalahalli,3,1400.0,3.0,77.0,5500.0
380,Hegde Nagar,3,1801.0,3.0,115.0,6385.341476957246
381,Mahadevpura,2,1451.0,2.0,90.0,6202.618883528601
382,Anekal,2,1200.0,1.0,36.0,3000.0
383,Begur Road,2,1160.0,2.0,44.0,3793.103448275862
384,Kengeri,2,1000.0,2.0,25.0,2500.0
385,Kanakpura Road,2,950.0,2.0,40.0,4210.526315789473
386,other,3,1629.0,3.0,79.0,4849.600982197668
387,Vijayanagar,3,1580.0,2.0,134.0,8481.012658227848
388,Vijayanagar,3,1826.0,3.0,121.0,6626.506024096386
389,7th Phase JP Nagar,2,1245.0,2.0,94.0,7550.2008032128515
390,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,3999.126637554585
391,Sompura,2,825.0,2.0,33.0,4000.0
392,Yeshwanthpur,3,1693.0,3.0,108.0,6379.208505611341
393,Electronics City Phase 1,2,1113.27,2.0,53.0,4760.74986301616
394,other,2,1460.0,2.0,58.0,3972.6027397260273
395,Doddathoguru,2,1050.0,2.0,32.0,3047.6190476190477
396,Dodda Nekkundi,2,1260.0,2.0,55.0,4365.079365079365
398,Hosur Road,2,1656.0,2.0,120.0,7246.376811594203
399,Chandapura,3,1208.0,3.0,45.0,3725.1655629139073
400,Whitefield,3,1910.0,3.0,161.0,8429.319371727748
401,Whitefield,4,3252.0,4.0,230.0,7072.570725707257
402,Battarahalli,2,1200.0,2.0,65.0,5416.666666666667
403,other,4,1200.0,4.0,175.0,14583.333333333334
404,7th Phase JP Nagar,2,1175.0,2.0,82.0,6978.723404255319
405,other,2,1000.0,2.0,165.0,16500.0
406,Bannerghatta Road,4,1200.0,2.0,125.0,10416.666666666666
407,Rajaji Nagar,3,2390.0,3.0,410.0,17154.81171548117
408,Rajaji Nagar,7,12000.0,6.0,2200.0,18333.333333333332
410,Kengeri,1,,1.0,18.5,
411,other,2,1185.0,2.0,38.0,3206.7510548523205
412,Kengeri,2,750.0,2.0,38.0,5066.666666666667
414,Kanakpura Road,3,1550.0,3.0,64.5,4161.290322580645
415,other,3,1760.0,3.0,88.0,5000.0
416,Billekahalli,2,1125.0,2.0,62.0,5511.111111111111
417,Nagarbhavi,3,1350.0,3.0,150.0,11111.111111111111
418,Anandapura,2,1000.0,2.0,55.0,5500.0
419,Bommasandra Industrial Area,2,1090.0,2.0,31.48,2888.0733944954127
420,TC Palaya,2,1200.0,2.0,60.0,5000.0
421,Budigere,3,1991.0,4.0,103.0,5173.279758915118
422,Bommasandra,2,1060.0,2.0,26.5,2500.0
423,Ambalipura,2,1105.0,2.0,75.0,6787.330316742082
424,Hoodi,2,985.0,2.0,67.0,6802.030456852792
426,Balagere,3,1590.0,3.0,79.0,4968.553459119496
427,CV Raman Nagar,2,1120.0,2.0,55.0,4910.714285714285
428,other,2,1069.0,2.0,55.0,5144.9953227315245
429,Marathahalli,3,1933.0,3.0,140.0,7242.628039317124
430,Hosur Road,2,1194.0,2.0,69.0,5778.894472361809
431,Brookefield,2,1150.0,2.0,69.0,6000.0
432,Yelenahalli,2,1240.0,2.0,47.12,3800.0
433,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,3389.7110641296686
435,other,3,2150.0,4.0,240.0,11162.790697674418
436,other,3,1450.0,3.0,55.0,3793.103448275862
437,other,3,1630.0,3.0,68.29,4189.57055214724
438,Dasanapura,2,708.0,1.0,40.0,5649.717514124294
439,Kasavanhalli,3,1000.0,4.0,110.0,11000.0
440,Whitefield,4,11890.0,4.0,700.0,5887.300252312868
441,Bellandur,2,1250.0,2.0,76.0,6080.0
442,7th Phase JP Nagar,3,1400.0,2.0,95.0,6785.714285714285
443,Sarjapur  Road,3,1670.0,2.0,57.0,3413.1736526946106
444,Ardendale,3,1750.0,3.0,100.0,5714.285714285715
445,Vittasandra,2,1404.0,2.0,71.0,5056.980056980057
446,Hoodi,3,1715.0,2.0,95.0,5539.35860058309
447,Electronic City,1,630.0,1.0,34.65,5500.0
448,Harlur,3,1752.12,3.0,135.0,7704.951715635916
449,Hulimavu,3,1650.0,3.0,78.0,4727.272727272727
450,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,4283.397683397683
451,Giri Nagar,3,1800.0,3.0,252.0,14000.0
452,Sarjapur  Road,2,1346.0,2.0,74.03,5500.0
453,other,4,1200.0,4.0,200.0,16666.666666666668
454,Hormavu,2,1150.0,2.0,55.0,4782.608695652174
455,other,4,3309.0,4.0,325.0,9821.698398307646
456,Chandapura,3,1190.0,2.0,30.35,2550.4201680672268
457,AECS Layout,3,1620.0,3.0,98.0,6049.382716049383
458,Marathahalli,2,950.0,2.0,46.96,4943.1578947368425
459,other,11,5000.0,9.0,360.0,7200.0
460,Harlur,3,2450.0,3.0,120.0,4897.959183673469
461,Electronic City Phase II,3,1220.0,2.0,35.23,2887.7049180327863
462,other,2,850.0,2.0,30.0,3529.4117647058824
463,Padmanabhanagar,2,1020.0,2.0,63.0,6176.470588235294
464,Chikkalasandra,2,1100.0,2.0,50.0,4545.454545454545
465,other,2,1150.0,2.0,126.0,10956.521739130434
466,Hebbal,3,1760.0,2.0,130.0,7386.363636363636
467,Ambalipura,3,1800.0,3.0,110.0,6111.111111111111
468,Akshaya Nagar,2,1070.0,2.0,54.0,5046.728971962617
469,2nd Stage Nagarbhavi,4,1500.0,4.0,220.0,14666.666666666666
470,Vidyaranyapura,2,1440.0,2.0,95.0,6597.222222222223
471,Amruthahalli,2,900.0,2.0,40.0,4444.444444444444
472,other,4,1200.0,4.0,230.0,19166.666666666668
